taxonid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,taxonomic_authority,infra_rank,infra_name,population,category,main_common_name
31665,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Myrcia,Myrcia manacalensis,Urb.,,,,EN,Pimentillo
31666,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Psidium,Psidium claraense,Urb.,,,,CR,
31668,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Mosiera,Mosiera havanensis,(Urb.) Bisse,,,,EN,
31669,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,Henriettea,Henriettea punctata,(Griseb.) M.Gómez,,,,CR,
31670,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,Henriettea,Henriettea squamata,(Alain) Alain,,,,LC,
31672,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,Miconia,Miconia pseudopedicellata,Judd &amp; Bécquer,,,,LR/nt,
31673,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,Miconia,Miconia elegantissima,Bécquer &amp; Judd,,,,LC,
31674,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,RUTACEAE,Amyris,Amyris polymorpha,Urb.,,,,LC,
31675,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,RUTACEAE,Angostura,Angostura ossana,(DC.) Beurton,,,,EX,Quina del País
31677,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,MELIACEAE,Trichilia,Trichilia pungens,Urb.,,,,EN,Ébano Amarillo
31678,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,SAPINDACEAE,Allophylus,Allophylus roigii,Lippold,,,,VU,
31679,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,SAPINDACEAE,Euchorium,Euchorium cubense,Ekman &amp; Radlk.,,,,EX,
31680,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,ERYTHROXYLACEAE,Erythroxylum,Erythroxylum echinodendron,Ekman,,,,EW,
31681,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,MALPIGHIACEAE,Bunchosia,Bunchosia linearifolia,P. Wilson,,,,VU,
31682,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,ARALIACEAE,Aralia,Aralia rex,(Ekman) J.Wen,,,,CR,
31683,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,CELASTRACEAE,Gyminda,Gyminda orbicularis,Borhidi &amp; O.Muñiz,,,,EN,
31684,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SANTALALES,XIMENIACEAE,Ximenia,Ximenia roigii,León,,,,CR,Almendro de costa
